Name,Rating,Total Rating,Price Pounds,Price Pence
"Hcman RGB Large Gaming Mouse Mat, XXL Mouse Pad 800×300×4mm, PC Gaming Accessories Mousepad, Keyboard Desk Mat for Computer Gamer- Black","<span class=""a-icon-alt"">4.6 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">11,731</span>","<span class=""a-price-whole"">11<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">99</span>"
COOLOO Blue Light Blocking Glasses for Anti Headache and Eyes Strain Super Light Weight Computer Gaming Glasses Fashion Accessories，Unisex for Women and Men,"<span class=""a-icon-alt"">4.3 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">10,251</span>","<span class=""a-price-whole"">7<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">64</span>"
"RGB Gaming Mouse Pad, 14 Glowing Modes 800 x 300mm Led Mouse Mat with Waterproof Surface, Non-Slip Rubber Base Extended Computer Keyboard Mousepad for Macbook, PC, Laptop, Desk","<span class=""a-icon-alt"">4.6 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">5,095</span>","<span class=""a-price-whole"">12<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">69</span>"
"RFIVER Wood Monitor Stand Riser-Desk Stand with Smartphone Holder-Desk Accessories for PC, Laptop, Printer-Computer Monitor Stand with Cable Management-Desktop Organizer for iMac, Notebook， Black","<span class=""a-icon-alt"">4.5 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">713</span>","<span class=""a-price-whole"">14<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">99</span>"
"6PCS Camera Cover， Webcam Cover Slide，Ultra-Thin Webcam Cover Slide for laptop, MacBook, PC, Cell Phone and More Accessories，Protect Your Privacy and Security","<span class=""a-icon-alt"">4.5 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">118</span>","<span class=""a-price-whole"">1<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">99</span>"
"14-in-1 USB C Laptop Docking Station, 4K HDMI Dual/Triple Monitor USB-C Dock Hub","<span class=""a-icon-alt"">4.3 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">120</span>","<span class=""a-price-whole"">69<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">99</span>"
58 Piece Computer Repair Tool Kit,"<span class=""a-icon-alt"">4.6 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">582</span>","<span class=""a-price-whole"">26<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">99</span>"
"Apex Industries- Laptop Stand, With Phone Holder and 360°Adjustable, Laptop Stand For Desk, Laptop Riser for Desk, Portable Laptop Stand Compatible with All Laptops/MacBook Stand 13""15""17.","<span class=""a-icon-alt"">4.6 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">186</span>","<span class=""a-price-whole"">27<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">99</span>"
"Trust Gaming GXT 606 Javv RGB-Illuminated 2.0 PC Speakers, 12 W Peak Power, 3.5 mm Jack, Metal Grille, USB Powered Sound System, Speaker Set for Computer, Laptop, Mac - Grey","<span class=""a-icon-alt"">4.4 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">2,347</span>","<span class=""a-price-whole"">22<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">99</span>"
"Newseego Pouch Holder [2 Pack] Portable External Hard Drive Carrying Case for Computer Accessories,Stick-On Laptop Organizer Portable Storage Pocket for External Hard Drive,Wireless Mouse,Cables,Black","<span class=""a-icon-alt"">4.4 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">152</span>","<span class=""a-price-whole"">12<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">99</span>"
